day,city,area_id,ncontacts_1,ncontacts_2
2024-04-29,Dortmund,10.0,64,0
2024-04-29,Dortmund,-1.0,2632,0
2024-04-29,Dortmund,39.0,4,0
2024-04-29,Leipzig,3.0,38,0
2024-04-29,Leipzig,-1.0,5414,0
2024-04-29,Gelsenkirchen,28.0,86,0
2024-04-29,Gelsenkirchen,-1.0,2428,0
2024-04-29,München,1.0,16,0
2024-04-29,München,41.0,26,0
2024-04-29,München,45.0,30,0
2024-04-29,München,60.0,8,0
2024-04-29,München,-1.0,954,0
2024-04-29,Frankfurt am Main,64.0,26,2
2024-04-29,Frankfurt am Main,4.0,30,0
2024-04-29,Frankfurt am Main,-1.0,1752,0
2024-04-29,Hamburg,25.0,74,0
2024-04-29,Hamburg,29.0,114,0
2024-04-29,Hamburg,-1.0,6188,0
2024-04-29,Düsseldorf,-1.0,2272,0
2024-04-29,Köln,51.0,80,0
2024-04-29,Köln,-1.0,3028,0
2024-04-29,Köln,15.0,6,0
2024-04-29,Stuttgart,11.0,100,0
2024-04-29,Stuttgart,-1.0,1458,0
2024-04-29,Berlin,16.0,54,0
2024-04-29,Berlin,2.0,18,0
2024-04-29,Berlin,40.0,52,0
2024-04-29,Berlin,-1.0,10702,0
2024-04-30,Dortmund,10.0,288,0
2024-04-30,Dortmund,-1.0,3036,0
2024-04-30,Dortmund,39.0,6,0
2024-04-30,Leipzig,3.0,60,0
2024-04-30,Leipzig,-1.0,5324,0
2024-04-30,Gelsenkirchen,28.0,60,0
2024-04-30,Gelsenkirchen,-1.0,2858,0
2024-04-30,München,1.0,214,182
2024-04-30,München,41.0,104,0
2024-04-30,München,45.0,54,2
2024-04-30,München,60.0,2,0
2024-04-30,München,-1.0,1228,0
2024-04-30,Frankfurt am Main,64.0,38,0
2024-04-30,Frankfurt am Main,4.0,24,0
2024-04-30,Frankfurt am Main,-1.0,2232,0
2024-04-30,Hamburg,25.0,12,0
2024-04-30,Hamburg,29.0,248,0
2024-04-30,Hamburg,-1.0,7186,0
2024-04-30,Düsseldorf,-1.0,2612,0
2024-04-30,Köln,51.0,146,0
2024-04-30,Köln,-1.0,3904,0
2024-04-30,Köln,15.0,4,0
2024-04-30,Stuttgart,11.0,398,0
2024-04-30,Stuttgart,-1.0,1980,0
2024-04-30,Berlin,16.0,68,0
2024-04-30,Berlin,2.0,6,0
2024-04-30,Berlin,40.0,44,0
2024-04-30,Berlin,-1.0,11940,0
2024-05-01,Dortmund,10.0,726,336
2024-05-01,Dortmund,-1.0,1494,0
2024-05-01,Dortmund,39.0,42,0
2024-05-01,Leipzig,3.0,236,0
2024-05-01,Leipzig,-1.0,2082,0
2024-05-01,Gelsenkirchen,28.0,38,0
2024-05-01,Gelsenkirchen,-1.0,1128,0
2024-05-01,München,41.0,4,0
2024-05-01,München,45.0,24,2
2024-05-01,München,-1.0,490,0
2024-05-01,München,1.0,8,0
2024-05-01,Frankfurt am Main,64.0,10,0
2024-05-01,Frankfurt am Main,4.0,20,0
2024-05-01,Frankfurt am Main,-1.0,856,0
2024-05-01,Hamburg,25.0,6,0
2024-05-01,Hamburg,29.0,108,0
2024-05-01,Hamburg,-1.0,2608,0
2024-05-01,Düsseldorf,-1.0,1000,0
2024-05-01,Köln,51.0,44,0
2024-05-01,Köln,-1.0,1608,0
2024-05-01,Stuttgart,11.0,172,0
2024-05-01,Stuttgart,-1.0,854,0
2024-05-01,Berlin,16.0,38,0
2024-05-01,Berlin,2.0,4,0
2024-05-01,Berlin,40.0,34,0
2024-05-01,Berlin,-1.0,5092,0
2024-05-02,Dortmund,10.0,50,0
2024-05-02,Dortmund,-1.0,2540,0
2024-05-02,Dortmund,39.0,2,0
2024-05-02,Leipzig,3.0,70,0
2024-05-02,Leipzig,-1.0,4914,0
2024-05-02,Gelsenkirchen,28.0,106,0
2024-05-02,Gelsenkirchen,-1.0,2222,0
2024-05-02,München,41.0,42,0
2024-05-02,München,45.0,28,0
2024-05-02,München,-1.0,1026,0
2024-05-02,München,1.0,16,0
2024-05-02,Frankfurt am Main,64.0,44,2
2024-05-02,Frankfurt am Main,4.0,22,0
2024-05-02,Frankfurt am Main,-1.0,1512,0
2024-05-02,Hamburg,25.0,138,0
2024-05-02,Hamburg,29.0,204,0
2024-05-02,Hamburg,-1.0,6400,0
2024-05-02,Düsseldorf,-1.0,2244,0
2024-05-02,Köln,51.0,120,0
2024-05-02,Köln,-1.0,3222,0
2024-05-02,Köln,15.0,8,2
2024-05-02,Stuttgart,11.0,160,0
2024-05-02,Stuttgart,-1.0,1456,0
2024-05-02,Berlin,16.0,50,0
2024-05-02,Berlin,2.0,10,0
2024-05-02,Berlin,40.0,58,0
2024-05-02,Berlin,-1.0,10684,0
2024-05-03,Dortmund,10.0,64,0
2024-05-03,Dortmund,-1.0,2588,0
2024-05-03,Dortmund,39.0,12,0
2024-05-03,Leipzig,3.0,38,0
2024-05-03,Leipzig,-1.0,5456,0
2024-05-03,Gelsenkirchen,28.0,66,0
2024-05-03,Gelsenkirchen,-1.0,2068,0
2024-05-03,München,1.0,18,0
2024-05-03,München,45.0,32,4
2024-05-03,München,-1.0,870,0
2024-05-03,München,41.0,22,0
2024-05-03,Frankfurt am Main,64.0,38,2
2024-05-03,Frankfurt am Main,4.0,40,0
2024-05-03,Frankfurt am Main,-1.0,1670,0
2024-05-03,Hamburg,25.0,234,684
2024-05-03,Hamburg,29.0,192,0
2024-05-03,Hamburg,-1.0,6260,0
2024-05-03,Düsseldorf,24.0,40,98
2024-05-03,Düsseldorf,-1.0,2246,0
2024-05-03,Stuttgart,11.0,184,0
2024-05-03,Stuttgart,-1.0,1388,0
2024-05-03,Köln,51.0,168,0
2024-05-03,Köln,-1.0,3878,0
2024-05-03,Köln,15.0,4,0
2024-05-03,Berlin,40.0,116,0
2024-05-03,Berlin,16.0,86,0
2024-05-03,Berlin,2.0,12,0
2024-05-03,Berlin,-1.0,11342,0
2024-05-04,Dortmund,10.0,1678,812
2024-05-04,Dortmund,-1.0,2622,0
2024-05-04,Dortmund,39.0,60,0
2024-05-04,Leipzig,3.0,42,0
2024-05-04,Leipzig,-1.0,5200,0
2024-05-04,Gelsenkirchen,28.0,84,2
2024-05-04,Gelsenkirchen,-1.0,1730,0
2024-05-04,München,1.0,10,0
2024-05-04,München,41.0,14,2
2024-05-04,München,45.0,142,0
2024-05-04,München,60.0,2,0
2024-05-04,München,-1.0,936,0
2024-05-04,Frankfurt am Main,64.0,84,2
2024-05-04,Frankfurt am Main,4.0,10,0
2024-05-04,Frankfurt am Main,-1.0,1406,0
2024-05-04,Hamburg,25.0,18,0
2024-05-04,Hamburg,29.0,384,0
2024-05-04,Hamburg,-1.0,5124,0
2024-05-04,Düsseldorf,-1.0,1386,0
2024-05-04,Stuttgart,11.0,1632,346
2024-05-04,Stuttgart,-1.0,1648,0
2024-05-04,Köln,51.0,78,0
2024-05-04,Köln,-1.0,4076,0
2024-05-04,Köln,15.0,206,220
2024-05-04,Berlin,16.0,48,0
2024-05-04,Berlin,40.0,44,0
2024-05-04,Berlin,2.0,202,0
2024-05-04,Berlin,-1.0,10032,0
2024-05-05,Dortmund,10.0,472,0
2024-05-05,Dortmund,-1.0,1282,0
2024-05-05,Dortmund,39.0,2,0
2024-05-05,Leipzig,3.0,26,0
2024-05-05,Leipzig,-1.0,2418,0
2024-05-05,Gelsenkirchen,28.0,30,2
